# destino_id,destino_nombre_es,zona_nombre,clave_mkp,Cangooroo ID,Cangooroo Nombre,Cangooroo ID,Cangooroo ID
1878,Best Western Hotel Majestic,Zona Centro - CDMX,BWMJWF,,,,
1756,Best Western Hotel Posada Freeman Zona Dorada,Z. Dorada Mazatlan,BWF2WF,,,,
1928,Best Western Majestic,Zona Centro - CDMX,WTICWF,,,,
1962,Best Western Plaza Genova Hotel,Hoteles en Guadalajara,BWPGWF,,,,
17,Best Western Plaza Kokai,Cancún,PLZKOKAI,1399762,Best Western Plaza Kokai Cancun,,
1963,Best Western Plus Gran Hotel Centro Historico,Hoteles en Guadalajara,BWP1WF,,,,
1437,Best Western Plus Luna del Mar,Zona 1 Manzanillo,WESTEM,,,,
1172,Best Western Posada Chahue,Bahía de Chahué,BESW,,,,
1198,Binniguenda Huatulco & Beach Club,Bahía de Santa Cruz,BINNI,,,,
401,Blue Angel Resort,Cozumel Zona Sur,BLU,647750,Blue Angel Resort,,
1383,Blue Bird Hotel Boutique,Hoteles Bacalar,BLBI,,,,
1490,Blue Chairs Resort by the Sea,Centro y Romántica,BLCHV,,,,
706,Blue Coconut Cancun,Cancún,BLUCOC,1347203,Blue Coconut Cancun,,
325,Blue Diamond Riviera Maya,Playa del Carmen,BLUED,1401808,Blue Diamond Riviera Maya,,
1757,Blue Pacific Suites,Z. Dorada Mazatlan,BPS2WF,,,,
235,Blue Parrot Suites,Playa del Carmen,BLUEP,39116,Blue Parrot 5th Avenue,,
1964,Blue Pepper Hostel Downtown,Hoteles en Guadalajara,BPHGWF,,,,
1965,Blue Pepper Plaza,Hoteles en Guadalajara,BPPGWF,,,,
321,BlueBay Grand Esmeralda,Playa del Carmen,BLUEG,19908,BlueBay Grand Esmeralda,2291983,1679910
2055,Bonsai Villas & Suites,CDMX Zona 1,SUI5WF,,,,
2442,Bora Boutique,Zona 2 Puerto Escondido,0,,,,
1588,Boutique by The Museo,Hoteles Mérida,BTMWF,,,,
1868,Breathless Cancun Soul Resort & Spa,Cancún,BRESOUL,,,,
580,Breathless Los Cabos,Los Cabos - Cabo San Lucas,BREA,2148738,Breathless Cabo San Lucas,772430,
495,Breathless Riviera Maya,Puerto Morelos,BREAT,697405,Breathless Riviera Cancun,2075203,1228464
777,Bric Vacation Rentals,Playa del Carmen,BRIC,,,,
2417,Brisamar Guesthouse,Zona Urbana PXM,0,,,,
20,Brisas Condominios,Cancún,BRISA,1679255,Brisas Condos Beach Front Cancun Hotel Zone,,
778,Bsea Cancun Plaza Hotel,Cancún,BSEA,612699,Bsea Cancun Plaza Hotel,,
1486,Buenaventura Grand Hotel & Great Moments,Centro y Romántica,BUGRV,,,,
2249,Bungalows Nautilus Oaxaca,Oaxaca - Zona 3,0,,,,
2313,Bungalows Santa Cruz,Zona 2 Puerto Escondido,0,,,,
2306,Bungalows Zicatela,Zona 2 Puerto Escondido,0,,,,
1390,Cabañas Ecoturisticas El Chital,Hoteles Chetumal,CECC,,,,
2102,Cabañas entre Pinos,CDMX Zona 2,PIN6WF,,,,
355,Cabañas Los Lirios,Tulúm,LOSLIR,,,,
535,Cabo Azul,Los Cabos - San Jose del Cabo,CABAZ,222780,Cabo Azul Resort by Diamond Resorts,,
556,Cabo del Sol Premier,Los Cabos - Corredor Turistico,CABOSP,305060,"Cabo del Sol, The Premier Collection",,
577,Cabo Villas Resort,Los Cabos - Cabo San Lucas,CABOVIC,1284546,Cabo Villas Beach Resort,,
779,Cache Hotel Boutique,Playa del Carmen,CACHE,244338,Cache Hotel Boutique - Adults Only,,
1908,Cadillac Hotel Boutique,Zona Centro - CDMX,CACFWF,,,,
899,Calaluna,Tulúm,CALALU,,,,
726,Caleta Tankah Tulum,Tulúm,CATATU,,,,
40,Calinda Americas,Cancún,CALI1,,,,
