# destino_id,destino_nombre_es,zona_nombre,clave_mkp,Cangooroo ID,Cangooroo Nombre,Cangooroo ID,Cangooroo ID
76,City Junior Cancún,Cancún,CITYJR,,,,
66,Club Med,Cancún,CMEDI,,,,
790,Club Regina Cancun,Cancún,CLBREG,,,,
21,Club Verano Beat,Cancún,VBEAT,,,,
719,Coco Beach Hostel,Playa del Carmen,COCOBH,,,,
791,Coco Tulum Hotel,Tulúm,COCOTUL,,,,
176,Cohiba Playa del Carmen,Playa del Carmen,COHI,,,,
104,Comfort Inn Cancún Aeropuerto,Cancún,COMF,,,,
782,Condo Casa del Árbol,Playa del Carmen,CASAA,,,,
221,Condo Hotel El Patio,Playa del Carmen,PATIO,,,,
443,Confort Inn,Cancún,CONFO,,,,
709,Coral Blue Beach Condo,Playa del Carmen,CONDO,,,,
378,Coral Princess Hotel and Dive Resort,Cozumel Zona Norte,CORAL,,,,
683,Corales Suites,Puerto Morelos,CORALES,,,,
792,Corales Suites,Puerto Morelos,CORALES,,,,
232,Corto Maltes Ocean Front Resort,Playa del Carmen,MALT,,,,
187,Costa Del Mar,Playa del Carmen,COSTA,,,,
408,Country Club,Cozumel Zona Norte,,,,,
80,Courtyard by Marriott Cancún,Cancún,COURT,,,,
402,Cozumel Palace,Cozumel Zona Sur,CZMPAL,,,,
105,Crown Paradise Club,Cancún,CRAT1,,,,
226,Deseo Hotel,Playa del Carmen,DESEO,,,,
242,DESEO Hotel and Lounge,Playa del Carmen,DESEO,,,,
275,Desire Pearl,Puerto Morelos,PEARL,,,,
280,Desire Resort and Spa,Puerto Morelos,DESI,,,,
591,Diamante,Los Cabos - Diamante,DIAMAC,,,,
794,Dolce Vita Caribe B&B,Playa del Carmen,DOLCEVIT,,,,
78,Dos Playas,Cancún,DOSPLA,,,,
345,Dreams Aventuras Riviera Maya,Puerto Aventuras,DREAMSP,,,,
548,Dreams Los Cabos,Los Cabos - Corredor Turistico,DRECA,,,,
488,Dreams Playa Mujeres,Playa Mujeres,DREAMSPM,,,,
291,Dreams Riviera Cancun Resort and Spa,Puerto Morelos,DREAMSR,,,,
446,Dreams Sands Cancun Resort & Spa,Cancún,DREAMSS,,,,
356,Dreams Tulum Resort and Spa,Tulúm,DREAMST,,,,
667,Dune Boutique Hotel Tulum,Tulúm,DUNE,,,,
194,Eclipse Playa Del Carmen,Playa del Carmen,ECLIP,,,,
179,El Acuario Hotel,Playa del Carmen,ACUA,,,,
271,El Campanario Hotel,Playa del Carmen,CAMPA,,,,
379,El Cantil Condominiums,Cozumel Zona Norte,CANTIL,,,,
400,El Cid La Ceiba Cozumel Hotel de Playa,Cozumel Zona Sur,LCER1,,,,
500,El Cielo Winery & Resort,El Cielo Winery & Resort,CIELOBA,1752866,El Cielo Winery & Resort,,
508,El Cipres,El Cipres (Ensenada),,,,,
380,El Cozumeleño Beach Resort,Cozumel Zona Norte,ELCT1,,,,
329,El Dorado Casitas Royale,Puerto Morelos,ELDSC,1734939,El Dorado Casitas Royale By Karisma,,
340,El Dorado Royale,Puerto Morelos,ELDS2,619363,El Dorado Royale By Karisma,,
490,El Dorado Seaside Palms,Puerto Aventuras,ELDSEN,2312030,El Dorado Seaside Palms,,
318,El Dorado Seaside Suites,Puerto Aventuras,ELDS1,38744,El Dorado Seaside Suites,,
250,El Faro Boutique Hotel,Playa del Carmen,FARO,,,,
754,El Faro By Royal Properties,Playa del Carmen,ELFA,,,,
532,El Ganzo,Los Cabos - San Jose del Cabo,GAN,,,,
425,El Marques,Cozumel DownTown,,,,,
415,El Pirata,Cozumel DownTown,,,,,
505,El Porvenir,El Porvenir (Ensenada),,,,,
241,El Punto,Playa del Carmen,PUNTO,,,,
506,El Sauzal,El Sauzal (Ensenada),,,,,
515,El Tigre,El Tigre(Ensenada),,,,,
