# destino_id,destino_nombre_es
1122,Hotel Alteza Polanco
1123,Hotel Alteza Polanco
1124,Hotel Ambassador Merida
1125,Hotel America
1126,Hotel Amigo Suites
1127,Hotel Amparo
1128,Hotel Ana Isabel
1129,Hotel and Spa Sol y Luna
1130,Hotel and Suites Oasis Bacalar
1131,Hotel And Suites Oasis Bacalar La Cabaña
1132,Hotel Andiroba Palace
1133,Hotel Angel Inn
1134,Hotel Antas
1135,Hotel Antigua Curtiduria
1137,Hotel Antiguo Fortín
1138,Hotel Antillano Cancún
1139,Hotel Anturium
1140,Hotel Ánuá
1141,Hotel Aranzazú Eco
1142,Hotel Arcoiris
1143,Hotel Arenas del Pacífico
1144,Hotel Arisa Oaxaca
1145,Hotel Arrecife
1146,Hotel Arrecife Plus
1147,Hotel Aspen
1148,Hotel Aspira
1149,HOTEL ASTUR
1150,Hotel Astur - Adults Only
1151,Hotel Atlantico
1152,Hotel Aurora
1153,Hotel Aurora
1154,Hotel Avenida
1155,Hotel Avenida
1156,Hotel Azores
1157,Hotel Azucena
1158,Hotel Azul Oaxaca
1159,Hotel B Cozumel
1160,Hotel B Nayar
1161,Hotel Bahía Huatulco
1162,Hotel Balboa Towers
1163,Hotel Balcon Gueela
1164,Hotel Baluarte
1165,Hotel Baluartes
1166,Hotel Bambu
1167,Hotel Banus
1168,Hotel Barranquilla
1169,Hotel Barrio Latino Playa Del Carmen
1170,Hotel Basico
1171,Hotel Batab Cancún
1172,Hotel Bo
1173,Hotel Bosque Caribe
1174,Hotel Boutique Casa Abuela María
1175,Hotel Boutique Casa Blanca del Sol
1176,Hotel Boutique Casa Garay
1177,Hotel Boutique Casa los Cantaros
1178,Hotel Boutique Casa San Angel
1179,Hotel Boutique Eden Costa
1180,Hotel Boutique Hacienda del Gobernador
1181,Hotel Boutique Kan Ahau
1182,Hotel Boutique La Casona by Kavia
1183,Hotel Boutique La Casona Colorada
1184,Hotel Boutique La Morena
1185,Hotel Boutique La Toja Campeche
1186,Hotel Boutique Parador San Miguel Oaxaca
1187,Hotel Boutique Ponciano
1188,Hotel Boutique Real San Juan Center
1189,Hotel Brisa del Mar Campeche
1190,Hotel Buenavista Bacalar
1191,Hotel Cabo Blanco
1192,Hotel Cabo Blanco Hotel y Marina
1193,Hotel Calenda
1194,Hotel Camaleón
1195,Hotel Camba
1196,Hotel Camino de Piedra
1197,Hotel Canada
1198,Hotel Candilejas Playa
1199,Hotel Cantera Real
1200,Hotel Capri de Leon
1201,Hotel Careyes Puerto Escondido
1202,Hotel Caribbean Paradise
1203,Hotel Caribbean Paradise Boutique & Dive Center
1204,Hotel Caribe
